timestamp;rawx;rawy;filteredx;filteredy;currentLineNumber
2021-02-22-10-20-36-952;1287;1132;1297.88;1151.61;29
2021-02-22-10-20-36-968;1286;1130;1297.53;1152.82;29
2021-02-22-10-20-36-985;1286;1128;1297.17;1153.9;29
2021-02-22-10-20-37-002;1280;1107;1296.78;1154.86;29
2021-02-22-10-20-37-018;1274;1088;1296.35;1155.72;29
2021-02-22-10-20-37-035;1268;1067;1295.86;1156.46;29
2021-02-22-10-20-37-055;1264;1047;1295.29;1157.11;29
2021-02-22-10-20-37-072;1262;1030;1294.64;1157.67;29
2021-02-22-10-20-37-088;1262;1015;1293.89;1158.13;29
2021-02-22-10-20-37-105;1261;993;1293.08;1158.52;29
2021-02-22-10-20-37-122;1260;960;1292.19;1158.83;29
2021-02-22-10-20-37-139;1260;930;1291.24;1159.08;29
2021-02-22-10-20-37-155;1260;906;1290.23;1159.26;29
2021-02-22-10-20-37-172;1260;869;1289.18;1159.38;29
2021-02-22-10-20-37-188;1260;841;1288.1;1159.44;29
2021-02-22-10-20-37-205;1260;803;1286.99;1159.46;29
2021-02-22-10-20-37-222;1258;779;1285.85;1159.44;29
2021-02-22-10-20-37-238;1255;752;1284.7;1159.37;29
2021-02-22-10-20-37-255;1252;726;1283.52;1159.26;29
2021-02-22-10-20-37-271;1252;709;1282.3;1159.13;29
2021-02-22-10-20-37-289;1256;687;1281.07;1158.96;29
2021-02-22-10-20-37-305;1262;672;1279.84;1158.77;29
2021-02-22-10-20-37-322;1266;661;1278.64;1158.56;29
2021-02-22-10-20-37-338;1269;647;1277.49;1158.33;29
2021-02-22-10-20-37-355;1272;636;1276.42;1158.08;29
2021-02-22-10-20-37-372;1275;624;1275.42;1157.82;29
2021-02-22-10-20-37-389;1278;616;1274.51;1157.54;29
2021-02-22-10-20-37-405;1283;604;1273.71;1157.26;29
2021-02-22-10-20-37-422;1285;594;1273.02;1156.97;29
2021-02-22-10-20-37-439;1286;581;1272.44;1156.68;29
2021-02-22-10-20-37-455;1286;572;1271.99;1156.38;29
2021-02-22-10-20-37-472;1287;567;1271.63;1156.08;29
2021-02-22-10-20-37-488;1290;559;1271.39;1155.79;29
2021-02-22-10-20-37-505;1292;553;1271.25;1155.49;29
2021-02-22-10-20-37-522;1296;546;1271.22;1155.19;29
2021-02-22-10-20-37-539;1297;541;1271.3;1154.9;29
2021-02-22-10-20-37-555;1299;537;1271.49;1154.62;29
2021-02-22-10-20-37-572;1300;530;1271.79;1154.34;29
2021-02-22-10-20-37-588;1300;523;1272.19;1154.06;29
2021-02-22-10-20-37-605;1300;516;1272.68;1153.11;29
2021-02-22-10-20-37-622;1300;507;1273.25;1150.15;29
2021-02-22-10-20-37-639;1300;502;1273.88;1144.69;29
2021-02-22-10-20-37-656;1302;497;1274.58;1137.01;29
2021-02-22-10-20-37-672;1302;491;1275.33;1127.32;29
2021-02-22-10-20-37-689;1302;484;1276.14;1115.88;28
2021-02-22-10-20-37-705;1303;481;1276.99;1102.89;28
2021-02-22-10-20-37-722;1303;481;1277.88;1088.55;27
2021-02-22-10-20-37-739;1303;481;1278.8;1073.07;27
2021-02-22-10-20-37-755;1303;481;1279.74;1056.6;26
2021-02-22-10-20-37-772;1303;481;1280.71;1039.33;26
